Year,Round,Circuit,TeamName,Abbreviation,QualiPos,GridPosition,ClassifiedPosition,Status,Time
2025,1,Melbourne,McLaren,NOR,1.0,1.0,1,Finished,0 days 01:42:06.304000
2025,1,Melbourne,Red Bull Racing,VER,3.0,3.0,2,Finished,0 days 00:00:00.895000
2025,1,Melbourne,Mercedes,RUS,4.0,4.0,3,Finished,0 days 00:00:08.481000
2025,1,Melbourne,Mercedes,ANT,16.0,16.0,4,Finished,0 days 00:00:10.135000
2025,1,Melbourne,Williams,ALB,6.0,6.0,5,Finished,0 days 00:00:12.773000
2025,1,Melbourne,Aston Martin,STR,13.0,13.0,6,Finished,0 days 00:00:17.413000
2025,1,Melbourne,Kick Sauber,HUL,17.0,17.0,7,Finished,0 days 00:00:18.423000
2025,1,Melbourne,Ferrari,LEC,7.0,7.0,8,Finished,0 days 00:00:19.826000
2025,1,Melbourne,McLaren,PIA,2.0,2.0,9,Finished,0 days 00:00:20.448000
2025,1,Melbourne,Ferrari,HAM,8.0,8.0,10,Finished,0 days 00:00:22.473000
2025,1,Melbourne,Alpine,GAS,9.0,9.0,11,Finished,0 days 00:00:26.502000
2025,1,Melbourne,Racing Bulls,TSU,5.0,5.0,12,Finished,0 days 00:00:29.884000
2025,1,Melbourne,Haas F1 Team,OCO,19.0,19.0,13,Finished,0 days 00:00:33.161000
2025,1,Melbourne,Haas F1 Team,BEA,20.0,20.0,14,Finished,0 days 00:00:40.351000
2025,1,Melbourne,Red Bull Racing,LAW,18.0,18.0,R,Retired,
2025,1,Melbourne,Kick Sauber,BOR,15.0,15.0,R,Retired,
2025,1,Melbourne,Aston Martin,ALO,12.0,12.0,R,Retired,
2025,1,Melbourne,Williams,SAI,10.0,10.0,R,Retired,
2025,1,Melbourne,Alpine,DOO,14.0,14.0,R,Retired,
2025,1,Melbourne,Racing Bulls,HAD,11.0,11.0,R,Retired,
2025,3,Suzuka,Red Bull Racing,VER,1.0,1.0,1,Finished,0 days 01:22:06.983000
2025,3,Suzuka,McLaren,NOR,2.0,2.0,2,Finished,0 days 00:00:01.423000
2025,3,Suzuka,McLaren,PIA,3.0,3.0,3,Finished,0 days 00:00:02.129000
2025,3,Suzuka,Ferrari,LEC,4.0,4.0,4,Finished,0 days 00:00:16.097000
2025,3,Suzuka,Mercedes,RUS,5.0,5.0,5,Finished,0 days 00:00:17.362000
2025,3,Suzuka,Mercedes,ANT,6.0,6.0,6,Finished,0 days 00:00:18.671000
2025,3,Suzuka,Ferrari,HAM,8.0,8.0,7,Finished,0 days 00:00:29.182000
2025,3,Suzuka,Racing Bulls,HAD,7.0,7.0,8,Finished,0 days 00:00:37.134000
2025,3,Suzuka,Williams,ALB,9.0,9.0,9,Finished,0 days 00:00:40.367000
2025,3,Suzuka,Haas F1 Team,BEA,10.0,10.0,10,Finished,0 days 00:00:54.529000
2025,3,Suzuka,Aston Martin,ALO,13.0,12.0,11,Finished,0 days 00:00:57.333000
2025,3,Suzuka,Red Bull Racing,TSU,15.0,14.0,12,Finished,0 days 00:00:58.401000
2025,3,Suzuka,Alpine,GAS,11.0,11.0,13,Finished,0 days 00:01:02.122000
2025,3,Suzuka,Williams,SAI,12.0,15.0,14,Finished,0 days 00:01:14.129000
2025,3,Suzuka,Alpine,DOO,19.0,19.0,15,Finished,0 days 00:01:21.314000
2025,3,Suzuka,Kick Sauber,HUL,16.0,16.0,16,Finished,0 days 00:01:21.957000
2025,3,Suzuka,Racing Bulls,LAW,14.0,13.0,17,Finished,0 days 00:01:22.734000
2025,3,Suzuka,Haas F1 Team,OCO,18.0,18.0,18,Finished,0 days 00:01:23.438000
2025,3,Suzuka,Kick Sauber,BOR,17.0,17.0,19,Finished,0 days 00:01:23.897000
2025,3,Suzuka,Aston Martin,STR,20.0,20.0,20,Lapped,0 days 00:00:12.929000
2025,4,Sakhir,McLaren,PIA,1.0,1.0,1,Finished,0 days 01:35:39.435000
2025,4,Sakhir,Mercedes,RUS,2.0,3.0,2,Finished,0 days 00:00:15.499000
2025,4,Sakhir,McLaren,NOR,6.0,6.0,3,Finished,0 days 00:00:16.273000
2025,4,Sakhir,Ferrari,LEC,3.0,2.0,4,Finished,0 days 00:00:19.679000
2025,4,Sakhir,Ferrari,HAM,9.0,9.0,5,Finished,0 days 00:00:27.993000
2025,4,Sakhir,Red Bull Racing,VER,7.0,7.0,6,Finished,0 days 00:00:34.395000
2025,4,Sakhir,Alpine,GAS,5.0,4.0,7,Finished,0 days 00:00:36.002000
2025,4,Sakhir,Haas F1 Team,OCO,14.0,14.0,8,Finished,0 days 00:00:44.244000
