Year,Round,Circuit,TeamName,Abbreviation,QualiPos,GridPosition,ClassifiedPosition,Status,Time
2021,1,Sakhir,Mercedes,HAM,2.0,2.0,1.0,Finished,0 days 01:32:03.897000
2021,1,Sakhir,Red Bull Racing,VER,1.0,1.0,2.0,Finished,0 days 00:00:00.745000
2021,1,Sakhir,Mercedes,BOT,3.0,3.0,3.0,Finished,0 days 00:00:37.383000
2021,1,Sakhir,McLaren,NOR,7.0,7.0,4.0,Finished,0 days 00:00:46.466000
2021,1,Sakhir,Red Bull Racing,PER,11.0,0.0,5.0,Finished,0 days 00:00:52.047000
2021,1,Sakhir,Ferrari,LEC,4.0,4.0,6.0,Finished,0 days 00:00:59.090000
2021,1,Sakhir,McLaren,RIC,6.0,6.0,7.0,Finished,0 days 00:01:06.004000
2021,1,Sakhir,Ferrari,SAI,8.0,8.0,8.0,Finished,0 days 00:01:07.100000
2021,1,Sakhir,AlphaTauri,TSU,13.0,13.0,9.0,Finished,0 days 00:01:25.692000
2021,1,Sakhir,Aston Martin,STR,10.0,10.0,10.0,Finished,0 days 00:01:26.713000
2021,1,Sakhir,Alfa Romeo Racing,RAI,14.0,14.0,11.0,Finished,0 days 00:01:28.864000
2021,1,Sakhir,Alfa Romeo Racing,GIO,12.0,12.0,12.0,+1 Lap,
2021,1,Sakhir,Alpine,OCO,16.0,16.0,13.0,+1 Lap,
2021,1,Sakhir,Williams,RUS,15.0,15.0,14.0,+1 Lap,
2021,1,Sakhir,Aston Martin,VET,18.0,20.0,15.0,+1 Lap,
2021,1,Sakhir,Haas F1 Team,MSC,19.0,18.0,16.0,+1 Lap,
2021,2,Imola,Red Bull Racing,VER,3.0,3.0,1.0,Finished,0 days 02:02:34.598000
2021,2,Imola,Mercedes,HAM,1.0,1.0,2.0,Finished,0 days 00:00:22
2021,2,Imola,McLaren,NOR,7.0,7.0,3.0,Finished,0 days 00:00:23.702000
2021,2,Imola,Ferrari,LEC,4.0,4.0,4.0,Finished,0 days 00:00:25.579000
2021,2,Imola,Ferrari,SAI,11.0,11.0,5.0,Finished,0 days 00:00:27.036000
2021,2,Imola,McLaren,RIC,6.0,6.0,6.0,Finished,0 days 00:00:51.220000
2021,2,Imola,AlphaTauri,GAS,5.0,5.0,7.0,Finished,0 days 00:00:52.818000
2021,2,Imola,Aston Martin,STR,10.0,10.0,8.0,Finished,0 days 00:00:56.909000
2021,2,Imola,Alpine,OCO,9.0,9.0,9.0,Finished,0 days 00:01:05.704000
2021,2,Imola,Alpine,ALO,15.0,15.0,10.0,Finished,0 days 00:01:06.561000
2021,2,Imola,Red Bull Racing,PER,2.0,2.0,11.0,Finished,0 days 00:01:07.151000
2021,2,Imola,AlphaTauri,TSU,20.0,20.0,12.0,Finished,0 days 00:01:13.184000
2021,2,Imola,Alfa Romeo Racing,RAI,16.0,16.0,13.0,Finished,0 days 00:01:34.773000
2021,2,Imola,Alfa Romeo Racing,GIO,17.0,17.0,14.0,+1 Lap,
2021,2,Imola,Haas F1 Team,MSC,18.0,18.0,16.0,+2 Laps,
2021,2,Imola,Haas F1 Team,MAZ,19.0,19.0,17.0,+2 Laps,
2021,3,Portimão,Mercedes,HAM,2.0,2.0,1.0,Finished,0 days 01:34:31.421000
2021,3,Portimão,Red Bull Racing,VER,3.0,3.0,2.0,Finished,0 days 00:00:29.148000
2021,3,Portimão,Mercedes,BOT,1.0,1.0,3.0,Finished,0 days 00:00:33.530000
2021,3,Portimão,Red Bull Racing,PER,4.0,4.0,4.0,Finished,0 days 00:00:39.735000
2021,3,Portimão,McLaren,NOR,7.0,7.0,5.0,Finished,0 days 00:00:51.369000
2021,3,Portimão,Ferrari,LEC,8.0,8.0,6.0,Finished,0 days 00:00:55.781000
2021,3,Portimão,Alpine,OCO,6.0,6.0,7.0,Finished,0 days 00:01:03.749000
2021,3,Portimão,Alpine,ALO,13.0,13.0,8.0,Finished,0 days 00:00:01.808000
2021,3,Portimão,McLaren,RIC,16.0,16.0,9.0,Finished,0 days 00:01:15.369000
2021,3,Portimão,AlphaTauri,GAS,9.0,9.0,10.0,Finished,0 days 00:01:16.463000
2021,3,Portimão,Ferrari,SAI,5.0,5.0,11.0,Finished,0 days 00:01:18.955000
2021,3,Portimão,Alfa Romeo Racing,GIO,12.0,12.0,12.0,+1 Lap,
2021,3,Portimão,Aston Martin,VET,10.0,10.0,13.0,+1 Lap,
2021,3,Portimão,Aston Martin,STR,17.0,17.0,14.0,+1 Lap,
2021,3,Portimão,AlphaTauri,TSU,14.0,14.0,15.0,+1 Lap,
2021,3,Portimão,Williams,RUS,11.0,11.0,16.0,+1 Lap,
2021,3,Portimão,Haas F1 Team,MSC,19.0,19.0,17.0,+2 Laps,
2021,3,Portimão,Williams,LAT,18.0,18.0,18.0,+2 Laps,
2021,3,Portimão,Haas F1 Team,MAZ,20.0,20.0,19.0,+2 Laps,
2021,4,Barcelona,Mercedes,HAM,1.0,1.0,1.0,Finished,0 days 01:33:07.680000
2021,4,Barcelona,Red Bull Racing,VER,2.0,2.0,2.0,Finished,0 days 00:00:15.841000
2021,4,Barcelona,Mercedes,BOT,3.0,3.0,3.0,Finished,0 days 00:00:26.610000
2021,4,Barcelona,Ferrari,LEC,4.0,4.0,4.0,Finished,0 days 00:00:54.616000
2021,4,Barcelona,Red Bull Racing,PER,8.0,8.0,5.0,Finished,0 days 00:01:03.671000
2021,4,Barcelona,McLaren,RIC,7.0,7.0,6.0,Finished,0 days 00:01:13.768000
2021,4,Barcelona,Ferrari,SAI,6.0,6.0,7.0,Finished,0 days 00:01:14.670000
2021,4,Barcelona,McLaren,NOR,9.0,9.0,8.0,+1 Lap,
2021,4,Barcelona,Alpine,OCO,5.0,5.0,9.0,+1 Lap,
2021,4,Barcelona,AlphaTauri,GAS,12.0,12.0,10.0,+1 Lap,
