Year,Round,Circuit,TeamName,DriverA,DriverB,Quali_Delta,Grid_Delta,Points_Delta,Experience_Delta,FavoriteTrackAdvantage,Target,TrackType_street,Predicted_Winner,Real_Winner
2025,1,Melbourne,Ferrari,LEC,HAM,-1.0,-1.0,0.0,0,-1.6666666666666663,1,False,1,1
2025,1,Melbourne,Ferrari,HAM,LEC,1.0,1.0,0.0,0,1.6666666666666663,0,False,0,0
2025,1,Melbourne,Haas F1 Team,OCO,BEA,-1.0,-1.0,0.0,3,-4.0,1,False,1,1
2025,1,Melbourne,Haas F1 Team,BEA,OCO,1.0,1.0,0.0,-3,4.0,0,False,0,0
2025,1,Melbourne,McLaren,NOR,PIA,-1.0,-1.0,0.0,2,-3.25,1,False,1,1
2025,1,Melbourne,McLaren,PIA,NOR,1.0,1.0,0.0,-2,3.25,0,False,0,0
2025,1,Melbourne,Mercedes,RUS,ANT,-12.0,-12.0,0.0,4,-1.0,1,False,1,1
2025,1,Melbourne,Mercedes,ANT,RUS,12.0,12.0,0.0,-4,1.0,0,False,0,0
2025,3,Suzuka,Alpine,GAS,DOO,-8.0,-8.0,0.0,4,-1.333333333333334,1,False,1,1
2025,3,Suzuka,Alpine,DOO,GAS,8.0,8.0,0.0,-4,1.333333333333334,0,False,0,0
2025,3,Suzuka,Ferrari,LEC,HAM,-4.0,-4.0,3.0,0,-2.75,1,False,1,1
2025,3,Suzuka,Ferrari,HAM,LEC,4.0,4.0,-3.0,0,2.75,0,False,0,0
2025,3,Suzuka,Haas F1 Team,BEA,OCO,-8.0,-8.0,0.0,-3,-0.3333333333333339,1,False,1,1
2025,3,Suzuka,Haas F1 Team,OCO,BEA,8.0,8.0,0.0,3,0.3333333333333339,0,False,0,0
2025,3,Suzuka,Kick Sauber,HUL,BOR,-1.0,-1.0,6.0,3,-3.0,1,False,1,1
2025,3,Suzuka,Kick Sauber,BOR,HUL,1.0,1.0,-6.0,-3,3.0,0,False,0,0
2025,3,Suzuka,McLaren,NOR,PIA,-1.0,-1.0,23.0,2,0.083333333333333,1,False,1,1
2025,3,Suzuka,McLaren,PIA,NOR,1.0,1.0,-23.0,-2,-0.083333333333333,0,False,0,0
2025,3,Suzuka,Mercedes,RUS,ANT,-1.0,-1.0,3.0,4,0.75,1,False,1,1
2025,3,Suzuka,Mercedes,ANT,RUS,1.0,1.0,-3.0,-4,-0.75,0,False,0,0
2025,3,Suzuka,Racing Bulls,HAD,LAW,-7.0,-6.0,0.0,-2,-9.0,1,False,1,1
2025,3,Suzuka,Racing Bulls,LAW,HAD,7.0,6.0,0.0,2,9.0,0,False,0,0
2025,3,Suzuka,Red Bull Racing,VER,TSU,-14.0,-13.0,18.0,0,-11.5,1,False,1,1
2025,3,Suzuka,Red Bull Racing,TSU,VER,14.0,13.0,-18.0,0,11.5,0,False,0,0
2025,3,Suzuka,Williams,ALB,SAI,-3.0,-6.0,10.0,-1,1.333333333333333,1,False,1,1
2025,3,Suzuka,Williams,SAI,ALB,3.0,6.0,-10.0,1,-1.333333333333333,0,False,0,0
2025,4,Sakhir,Alpine,GAS,DOO,-6.0,-7.0,0.0,4,-6.0,1,False,1,1
2025,4,Sakhir,Alpine,DOO,GAS,6.0,7.0,0.0,-4,6.0,0,False,0,0
2025,4,Sakhir,Aston Martin,ALO,STR,-6.0,-6.0,-8.0,0,-2.0,1,False,1,1
2025,4,Sakhir,Aston Martin,STR,ALO,6.0,6.0,8.0,0,2.0,0,False,0,0
2025,4,Sakhir,Ferrari,LEC,HAM,-6.0,-7.0,9.0,0,-0.4500000000000002,1,False,1,1
2025,4,Sakhir,Ferrari,HAM,LEC,6.0,7.0,-9.0,0,0.4500000000000002,0,False,0,0
2025,4,Sakhir,Haas F1 Team,OCO,BEA,-6.0,-6.0,-1.0,3,-0.6666666666666661,1,False,1,1
2025,4,Sakhir,Haas F1 Team,BEA,OCO,6.0,6.0,1.0,-3,0.6666666666666661,0,False,0,0
2025,4,Sakhir,McLaren,PIA,NOR,-5.0,-5.0,-26.0,-2,-2.5,1,False,1,1
2025,4,Sakhir,McLaren,NOR,PIA,5.0,5.0,26.0,2,2.5,0,False,0,0
2025,4,Sakhir,Mercedes,RUS,ANT,-2.0,-2.0,5.0,4,-4.6,1,False,1,1
2025,4,Sakhir,Mercedes,ANT,RUS,2.0,2.0,-5.0,-4,4.6,0,False,0,0
2025,4,Sakhir,Racing Bulls,HAD,LAW,-5.0,-5.0,4.0,-2,-3.0,1,False,1,1
2025,4,Sakhir,Racing Bulls,LAW,HAD,5.0,5.0,-4.0,2,3.0,0,False,0,0
2025,4,Sakhir,Red Bull Racing,VER,TSU,-3.0,-3.0,43.0,0,-6.75,1,False,1,1
2025,4,Sakhir,Red Bull Racing,TSU,VER,3.0,3.0,-43.0,0,6.75,0,False,0,0
2025,5,Jeddah,Ferrari,LEC,HAM,-3.0,-3.0,11.0,0,-2.0,1,True,1,1
2025,5,Jeddah,Ferrari,HAM,LEC,3.0,3.0,-11.0,0,2.0,0,True,0,0
2025,5,Jeddah,Haas F1 Team,BEA,OCO,-4.0,-4.0,-2.0,-3,2.0,1,True,0,1
2025,5,Jeddah,Haas F1 Team,OCO,BEA,4.0,4.0,2.0,3,-2.0,0,True,1,0
2025,5,Jeddah,McLaren,PIA,NOR,-8.0,-8.0,-16.0,-2,-2.5333333333333323,1,True,1,1
2025,5,Jeddah,McLaren,NOR,PIA,8.0,8.0,16.0,2,2.5333333333333323,0,True,0,0
2025,5,Jeddah,Mercedes,RUS,ANT,-2.0,-2.0,23.0,4,-1.0,1,True,1,1
2025,5,Jeddah,Mercedes,ANT,RUS,2.0,2.0,-23.0,-4,1.0,0,True,0,0
2025,5,Jeddah,Racing Bulls,HAD,LAW,2.0,2.0,4.0,-2,-2.0,1,True,0,1
2025,5,Jeddah,Racing Bulls,LAW,HAD,-2.0,-2.0,-4.0,2,2.0,0,True,1,0
2025,5,Jeddah,Williams,SAI,ALB,-5.0,-5.0,-12.0,1,-3.75,1,True,1,1
2025,5,Jeddah,Williams,ALB,SAI,5.0,5.0,12.0,-1,3.75,0,True,0,0
2025,7,Imola,Alpine,GAS,COL,-5.0,-6.0,6.0,3,-6.0,1,False,1,1
2025,7,Imola,Alpine,COL,GAS,5.0,6.0,-6.0,-3,6.0,0,False,0,0
2025,7,Imola,Aston Martin,ALO,STR,-3.0,-3.0,-8.0,0,-0.166666666666666,1,False,1,1
2025,7,Imola,Aston Martin,STR,ALO,3.0,3.0,8.0,0,0.166666666666666,0,False,0,0
2025,7,Imola,Ferrari,HAM,LEC,1.0,1.0,-20.0,0,-0.333333333333333,1,False,0,1
2025,7,Imola,Ferrari,LEC,HAM,-1.0,-1.0,20.0,0,0.333333333333333,0,False,1,0
2025,7,Imola,Kick Sauber,HUL,BOR,3.0,3.0,6.0,3,-6.0,1,False,1,1
2025,7,Imola,Kick Sauber,BOR,HUL,-3.0,-3.0,-6.0,-3,6.0,0,False,0,0
2025,7,Imola,McLaren,NOR,PIA,3.0,3.0,3.0,2,-1.1666666666666663,1,False,1,1
2025,7,Imola,McLaren,PIA,NOR,-3.0,-3.0,-3.0,-2,1.1666666666666663,0,False,0,0
2025,7,Imola,Racing Bulls,HAD,LAW,-7.0,-6.0,5.0,-2,-5.0,1,False,1,1
2025,7,Imola,Racing Bulls,LAW,HAD,7.0,6.0,-5.0,2,5.0,0,False,0,0
2025,7,Imola,Red Bull Racing,VER,TSU,-18.0,-18.0,67.0,0,-10.0,1,False,1,1
2025,7,Imola,Red Bull Racing,TSU,VER,18.0,18.0,-67.0,0,10.0,0,False,0,0
2025,7,Imola,Williams,ALB,SAI,1.0,1.0,10.0,-1,-1.0,1,False,1,1
2025,7,Imola,Williams,SAI,ALB,-1.0,-1.0,-10.0,1,1.0,0,False,0,0
2025,8,Monaco,Ferrari,LEC,HAM,-2.0,-5.0,16.0,0,-2.75,1,True,1,1
2025,8,Monaco,Ferrari,HAM,LEC,2.0,5.0,-16.0,0,2.75,0,True,0,0
2025,8,Monaco,McLaren,NOR,PIA,-2.0,-2.0,6.0,2,1.1666666666666663,1,True,1,1
