Year,Round,Circuit,TeamName,DriverA,DriverB,Quali_Delta,Grid_Delta,Points_Delta,Experience_Delta,FavoriteTrackAdvantage,TrackType,Target
2021,1,Sakhir,Alfa Romeo Racing,RAI,GIO,2.0,2.0,0.0,0,-1.0,permanent,1
2021,1,Sakhir,Alfa Romeo Racing,GIO,RAI,-2.0,-2.0,0.0,0,1.0,permanent,0
2021,1,Sakhir,Aston Martin,STR,VET,-8.0,-10.0,0.0,0,-4.0,permanent,1
2021,1,Sakhir,Aston Martin,VET,STR,8.0,10.0,0.0,0,4.0,permanent,0
2021,1,Sakhir,Ferrari,LEC,SAI,-4.0,-4.0,0.0,0,-0.5,permanent,1
2021,1,Sakhir,Ferrari,SAI,LEC,4.0,4.0,0.0,0,0.5,permanent,0
2021,1,Sakhir,McLaren,NOR,RIC,1.0,1.0,0.0,0,-3.5,permanent,1
2021,1,Sakhir,McLaren,RIC,NOR,-1.0,-1.0,0.0,0,3.5,permanent,0
2021,1,Sakhir,Mercedes,HAM,BOT,-1.0,-1.0,0.0,0,-1.4666666666666668,permanent,1
2021,1,Sakhir,Mercedes,BOT,HAM,1.0,1.0,0.0,0,1.4666666666666668,permanent,0
2021,1,Sakhir,Red Bull Racing,VER,PER,-10.0,1.0,0.0,0,-0.5,permanent,1
2021,1,Sakhir,Red Bull Racing,PER,VER,10.0,-1.0,0.0,0,0.5,permanent,0
2021,2,Imola,Alfa Romeo Racing,RAI,GIO,-1.0,-1.0,0.0,0,-1.0,permanent,1
2021,2,Imola,Alfa Romeo Racing,GIO,RAI,1.0,1.0,0.0,0,1.0,permanent,0
2021,2,Imola,AlphaTauri,GAS,TSU,-15.0,-15.0,-2.0,0,-1.0,permanent,1
2021,2,Imola,AlphaTauri,TSU,GAS,15.0,15.0,2.0,0,1.0,permanent,0
2021,2,Imola,Alpine,OCO,ALO,-6.0,-6.0,0.0,0,-1.5,permanent,1
2021,2,Imola,Alpine,ALO,OCO,6.0,6.0,0.0,0,1.5,permanent,0
2021,2,Imola,Ferrari,LEC,SAI,-7.0,-7.0,4.0,0,-1.666666666666667,permanent,1
2021,2,Imola,Ferrari,SAI,LEC,7.0,7.0,-4.0,0,1.666666666666667,permanent,0
2021,2,Imola,McLaren,NOR,RIC,1.0,1.0,6.0,0,-3.6666666666666665,permanent,1
2021,2,Imola,McLaren,RIC,NOR,-1.0,-1.0,-6.0,0,3.6666666666666665,permanent,0
2021,2,Imola,Red Bull Racing,VER,PER,1.0,1.0,8.0,0,-8.5,permanent,1
2021,2,Imola,Red Bull Racing,PER,VER,-1.0,-1.0,-8.0,0,8.5,permanent,0
2021,3,Portimão,AlphaTauri,GAS,TSU,-5.0,-5.0,4.0,0,-5.0,permanent,1
2021,3,Portimão,AlphaTauri,TSU,GAS,5.0,5.0,-4.0,0,5.0,permanent,0
2021,3,Portimão,Alpine,OCO,ALO,-7.0,-7.0,1.0,0,-1.0,permanent,1
2021,3,Portimão,Alpine,ALO,OCO,7.0,7.0,-1.0,0,1.0,permanent,0
2021,3,Portimão,Aston Martin,VET,STR,-7.0,-7.0,-5.0,0,-1.0,permanent,1
2021,3,Portimão,Aston Martin,STR,VET,7.0,7.0,5.0,0,1.0,permanent,0
2021,3,Portimão,Ferrari,LEC,SAI,3.0,3.0,6.0,0,-5.0,permanent,1
2021,3,Portimão,Ferrari,SAI,LEC,-3.0,-3.0,-6.0,0,5.0,permanent,0
